"","Gender","Age","Stress_Level","Rapid_Heartbeat","Anxiety","Sleep_Problems","Anxiety_Level","Headaches","Irritation","Concentration_Problems","Low_Mood","Health_Issues","Loneliness","Academic_Workload","Peer_Competition","Relationship_Stress","Professor_Difficulty","Work_Environment","Lack_of_Leisure_Time","Home_Environment","Low_Academic_Confidence","Subject_Confidence","Activity_Conflict","Class_Attendance","Weight_Change","Stress_Type"
"707","0",19,2,2,5,5,5,1,1,2,1,2,5,1,1,1,1,5,1,4,1,2,4,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"708","0",19,3,3,5,1,1,2,1,1,3,2,4,4,4,2,2,1,2,4,2,5,2,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"709","0",19,1,2,5,3,2,2,3,2,3,3,2,1,1,1,1,1,1,3,3,3,3,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"710","0",19,2,2,3,2,3,3,3,3,5,4,3,1,2,2,3,2,4,2,5,4,1,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"711","1",20,4,2,3,5,5,2,2,3,3,2,3,4,2,5,2,3,2,2,2,3,5,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"712","0",20,3,2,2,2,1,3,2,1,3,2,3,1,2,2,3,2,2,1,1,5,4,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"713","0",20,1,1,2,1,2,4,3,3,3,3,3,1,2,3,2,3,2,1,1,1,4,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"714","1",19,3,4,3,5,4,1,1,1,2,1,2,1,1,1,1,2,4,4,3,3,3,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"715","1",19,1,2,3,2,1,2,3,4,1,2,3,2,3,4,3,3,3,1,1,3,4,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"716","0",20,3,3,2,3,4,4,3,1,3,2,3,2,3,3,2,2,4,2,3,4,4,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"717","0",20,4,3,2,1,1,1,1,2,4,4,3,3,2,2,3,3,4,2,3,5,1,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"718","1",20,2,2,1,3,2,4,3,2,2,2,2,1,1,1,1,1,3,1,4,3,4,1,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"719","0",20,5,2,2,3,2,1,1,1,1,2,3,1,1,3,4,3,3,2,1,3,4,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"720","1",21,4,3,2,1,1,2,2,2,2,1,5,1,1,1,4,1,2,1,3,3,4,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"721","1",19,2,2,1,3,2,1,1,1,1,1,1,5,4,5,5,3,4,3,1,3,3,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"722","1",20,3,2,2,2,2,1,5,3,3,3,3,2,3,5,3,1,3,5,2,2,3,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"723","1",21,3,3,4,3,2,2,3,5,2,1,3,2,4,1,2,4,3,3,4,3,4,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"724","0",19,3,2,3,2,3,3,4,5,3,2,3,1,2,1,5,5,5,4,5,5,4,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"725","0",22,2,3,4,2,2,4,4,2,4,4,4,2,3,4,3,4,2,2,3,4,1,5,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"726","0",21,1,1,2,1,2,1,4,5,3,1,3,1,2,3,2,2,2,2,1,3,5,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"727","0",22,4,4,2,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,4,2,"Distress (Negative Stress) - Stress that causes anxiety and impairs well-being."
"728","0",20,1,3,2,1,3,1,5,5,1,2,1,4,3,3,1,3,3,1,3,5,4,2,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"729","0",22,4,2,2,3,2,1,3,5,3,3,1,4,4,2,4,3,2,3,4,5,4,2,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"730","0",22,4,3,4,1,1,1,3,1,4,1,2,5,4,3,4,3,2,2,1,5,1,1,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"731","1",19,3,2,3,5,5,4,5,4,3,4,3,3,2,1,1,1,2,5,5,5,3,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"732","1",19,1,1,1,1,1,1,3,2,3,1,2,3,2,4,3,3,2,4,2,2,3,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"733","0",19,1,2,1,1,4,5,4,4,5,1,1,3,4,4,1,3,3,2,4,4,4,5,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"734","0",19,2,3,2,2,2,1,3,1,3,1,4,3,2,1,2,5,4,3,1,4,4,2,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"735","0",19,2,3,3,5,5,5,5,5,5,5,4,4,4,2,2,3,2,3,5,5,5,3,1,"Distress (Negative Stress) - Stress that causes anxiety and impairs well-being."
"736","1",20,2,3,3,1,1,2,1,2,1,2,3,1,1,1,2,1,2,1,1,2,4,4,2,"No Stress - Currently experiencing minimal to no stress."
"737","0",19,3,3,3,5,5,5,3,5,2,5,4,3,3,1,3,4,2,1,2,3,4,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"738","0",19,2,3,3,2,2,3,5,2,1,2,5,2,5,1,3,2,2,3,1,3,3,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"739","1",19,4,4,2,2,3,2,4,3,2,3,4,4,4,3,4,1,2,3,4,4,3,2,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"740","0",20,3,3,2,3,1,2,3,1,1,3,2,1,3,2,3,3,3,4,2,1,3,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"741","0",21,3,3,3,3,4,5,5,5,4,5,5,4,5,3,3,5,3,4,3,4,4,3,1,"Distress (Negative Stress) - Stress that causes anxiety and impairs well-being."
"742","1",19,2,3,3,1,2,2,4,3,1,2,1,4,1,2,3,4,4,1,1,5,4,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"743","1",19,3,2,3,4,3,3,3,3,4,1,1,3,3,3,4,2,1,5,5,4,3,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"744","0",21,3,3,3,1,1,1,2,1,2,3,2,3,5,3,4,3,4,2,2,4,4,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"745","0",20,3,2,3,1,1,4,2,2,2,1,1,4,2,4,3,3,2,2,3,2,2,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"746","1",19,3,2,3,2,2,2,4,4,3,4,2,3,3,3,3,3,3,1,2,4,4,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"747","0",21,4,1,1,5,5,1,5,5,2,3,3,2,3,1,1,1,5,2,1,4,4,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"748","0",19,1,3,1,5,1,1,3,1,2,1,2,1,3,1,3,2,2,5,4,5,2,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"749","0",17,1,1,2,5,3,3,2,1,2,3,5,3,3,3,3,3,4,3,3,4,2,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"750","1",100,5,5,1,2,1,3,3,2,4,3,3,3,2,2,4,1,1,1,3,4,5,1,5,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"751","0",18,2,1,3,4,1,5,4,4,1,1,2,1,2,5,1,1,1,1,5,1,2,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"752","0",19,1,2,3,2,3,1,5,1,2,1,1,3,2,4,4,4,2,2,1,2,2,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"753","0",18,2,2,3,2,1,2,1,2,2,3,2,3,3,2,1,1,1,1,1,1,3,5,5,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"754","0",19,2,1,2,3,2,3,4,5,3,3,3,5,4,3,1,2,2,3,2,4,3,3,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"755","1",18,2,3,2,5,2,4,1,2,2,2,3,3,2,3,4,2,5,2,3,2,2,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"756","0",18,2,1,4,3,3,3,3,3,3,2,1,3,2,3,1,2,2,3,2,2,3,5,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"757","0",17,2,3,2,3,1,3,4,4,4,3,3,3,3,3,1,2,3,2,3,2,4,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"758","1",18,5,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,4,3,4,4,"No Stress - Currently experiencing minimal to no stress."
"759","1",17,2,1,3,5,5,5,5,5,2,3,4,1,2,3,2,3,4,3,3,3,2,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"760","0",18,1,1,4,2,2,2,1,2,4,3,1,3,2,3,2,3,3,2,2,4,4,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"761","0",18,1,5,1,2,5,2,2,2,1,1,2,4,4,3,3,2,2,3,3,4,2,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"762","1",19,1,2,1,2,1,2,5,3,4,3,2,2,2,2,1,1,1,1,1,3,5,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"763","0",19,5,3,3,2,2,2,3,4,1,1,1,1,2,3,1,1,3,4,3,3,5,5,5,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"764","1",19,2,1,3,2,2,3,3,1,2,2,2,2,1,5,1,1,1,4,1,2,2,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"765","1",18,1,3,4,3,3,2,2,1,1,1,1,1,1,1,5,4,5,5,3,4,1,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"766","1",19,5,3,1,3,2,3,2,1,1,5,3,3,3,3,2,3,5,3,1,3,3,3,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"767","1",19,2,1,4,5,2,5,3,1,2,3,5,2,1,3,2,4,1,2,4,3,2,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
